FIPS,Industry21,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample,StateAB
21,Educational Services,3,2041,0.061400348,11415,185911,2041,KY
21,Health Care,3,2336,0.063659065,14709,231059,2336,KY
21,Social Assistance Services,3,430,0.109232314,4677,42817,430,KY
21,"Arts, Entertainment, Recreation",3,269,0.061381519,1763,28722,269,KY
21,Accommodation and Food Services,3,1079,0.078046768,9649,123631,1079,KY
21,Other Services (except Public Administration),3,905,0.080706886,7339,90934,905,KY
21,Public Administration,3,879,0.092100064,7691,83507,879,KY
21,Active Duty Military,3,170,0.095852018,1197,12488,170,KY
22,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,958,0.082688182,8363,101139,958,LA
22,Utilities,3,235,0.077744621,1980,25468,235,LA
22,Construction,3,1373,0.07046426,11655,165403,1373,LA
22,Manufacturing,3,1527,0.060478608,10008,165480,1527,LA
22,Wholesale Trade,3,473,0.060861805,3137,51543,473,LA
22,Retail Trade,3,1999,0.066994512,15040,224496,1999,LA
22,"Transportation, Warehousing & Storage",3,758,0.063671401,5303,83287,758,LA
22,Information,3,317,0.04784689,1470,30723,317,LA
22,"Finance, Insurance",3,714,0.041945058,3095,73787,714,LA
22,"Real Estate, Rental & Leasing",3,300,0.073659399,2375,32243,300,LA
22,"Professional, Scientific, Management",3,1135,0.066630007,7149,107294,1135,LA
22,Administrative & Waste Management Services,3,645,0.10193148,7325,71862,645,LA
22,Educational Services,3,1941,0.057928253,10543,182001,1941,LA
22,Health Care,3,2330,0.062013839,15299,246703,2330,LA
22,Social Assistance Services,3,399,0.076126791,3199,42022,399,LA
22,"Arts, Entertainment, Recreation",3,432,0.081728472,3934,48135,432,LA
22,Accommodation and Food Services,3,1215,0.073158106,10741,146819,1215,LA
22,Other Services (except Public Administration),3,933,0.098138799,9681,98646,933,LA
22,Public Administration,3,1058,0.071091638,7415,104302,1058,LA
22,Active Duty Military,3,159,0.075146525,1077,14332,159,LA
23,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,209,0.108512457,1777,16376,209,ME
23,Utilities,3,48,0.051781847,263,5079,48,ME
23,Construction,3,438,0.089326398,4156,46526,438,ME
23,Manufacturing,3,566,0.0644919,3778,58581,566,ME
23,Wholesale Trade,3,139,0.0559582,996,17799,139,ME
23,Retail Trade,3,725,0.092599088,7656,82679,725,ME
23,"Transportation, Warehousing & Storage",3,204,0.069081327,1337,19354,204,ME
23,Information,3,105,0.094883721,1428,15050,105,ME
23,"Finance, Insurance",3,235,0.050574221,1418,28038,235,ME
23,"Real Estate, Rental & Leasing",3,82,0.072830515,590,8101,82,ME
23,"Professional, Scientific, Management",3,240,0.032423138,792,24427,240,ME
23,Administrative & Waste Management Services,3,197,0.055027624,1245,22625,197,ME
23,Educational Services,3,734,0.053716782,3788,70518,734,ME
23,Health Care,3,825,0.073273347,6531,89132,825,ME
23,Social Assistance Services,3,159,0.11563848,2225,19241,159,ME
23,"Arts, Entertainment, Recreation",3,115,0.149904083,1641,10947,115,ME
23,Accommodation and Food Services,3,322,0.048193055,2043,42392,322,ME
23,Other Services (except Public Administration),3,276,0.088582303,2793,31530,276,ME
23,Public Administration,3,304,0.092104449,2977,32322,304,ME
23,Active Duty Military,3,14,0,0,1440,14,ME
24,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,153,0.040929479,657,16052,153,MD
24,Utilities,3,199,0.019043147,365,19167,199,MD
24,Construction,3,1707,0.044542987,8518,191231,1707,MD
24,Manufacturing,3,1414,0.0570981,7946,139164,1414,MD
24,Wholesale Trade,3,579,0.035036791,2257,64418,579,MD
24,Retail Trade,3,2637,0.068540231,19484,284271,2637,MD
24,"Transportation, Warehousing & Storage",3,951,0.047917583,5014,104638,951,MD
24,Information,3,673,0.044949689,2926,65095,673,MD
24,"Finance, Insurance",3,1280,0.038964552,5041,129374,1280,MD
24,"Real Estate, Rental & Leasing",3,663,0.058086625,4085,70326,663,MD
24,"Professional, Scientific, Management",3,3322,0.037290849,11460,307314,3322,MD
24,Administrative & Waste Management Services,3,1178,0.063851394,8614,134907,1178,MD
24,Educational Services,3,3178,0.043339807,12630,291418,3178,MD
24,Health Care,3,3325,0.046974953,16427,349697,3325,MD
24,Social Assistance Services,3,688,0.105083068,7432,70725,688,MD
24,"Arts, Entertainment, Recreation",3,557,0.084547006,4708,55685,557,MD
24,Accommodation and Food Services,3,1494,0.04470698,8049,180039,1494,MD
24,Other Services (except Public Administration),3,1614,0.060794618,9995,164406,1614,MD
24,Public Administration,3,3375,0.055928621,18498,330743,3375,MD
24,Active Duty Military,3,287,0.025457955,706,27732,287,MD
25,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,109,0.083568483,770,9214,109,MA
25,Utilities,3,212,0.059950739,1217,20300,212,MA
25,Construction,3,1633,0.037761152,6617,175233,1633,MA
25,Manufacturing,3,3146,0.045912753,14479,315359,3146,MA
25,Wholesale Trade,3,765,0.049521218,3858,77906,765,MA
25,Retail Trade,3,3401,0.063164187,21873,346288,3401,MA
25,"Transportation, Warehousing & Storage",3,964,0.066499985,6809,102391,964,MA
25,Information,3,786,0.035153378,2630,74815,786,MA
25,"Finance, Insurance",3,2062,0.033535346,6762,201638,2062,MA
25,"Real Estate, Rental & Leasing",3,570,0.070366216,3889,55268,570,MA
25,"Professional, Scientific, Management",3,3521,0.027327899,9267,339104,3521,MA
25,Administrative & Waste Management Services,3,1193,0.056913791,7468,131216,1193,MA
25,Educational Services,3,4564,0.036236,14417,397864,4564,MA
25,Health Care,3,4594,0.048127562,22097,459134,4594,MA
25,Social Assistance Services,3,994,0.095704165,9524,99515,994,MA
25,"Arts, Entertainment, Recreation",3,645,0.049000192,3068,62612,645,MA
25,Accommodation and Food Services,3,1831,0.051696959,10888,210612,1831,MA
25,Other Services (except Public Administration),3,1461,0.065327243,9683,148223,1461,MA
25,Public Administration,3,1378,0.047651558,6212,130363,1378,MA
25,Active Duty Military,3,58,0.089488081,458,5118,58,MA
26,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,742,0.074133827,3768,50827,742,MI
26,Utilities,3,384,0.074187726,2877,38780,384,MI
26,Construction,3,2102,0.06710558,13648,203381,2102,MI
26,Manufacturing,3,7650,0.063184681,49735,787137,7650,MI
26,Wholesale Trade,3,966,0.046146527,4559,98794,966,MI
26,Retail Trade,3,4719,0.072952722,36589,501544,4719,MI
26,"Transportation, Warehousing & Storage",3,1381,0.060618958,8403,138620,1381,MI
26,Information,3,650,0.065857329,4508,68451,650,MI
26,"Finance, Insurance",3,1700,0.042191606,7515,178116,1700,MI
26,"Real Estate, Rental & Leasing",3,607,0.078124311,5318,68071,607,MI
26,"Professional, Scientific, Management",3,2273,0.045266344,10572,233551,2273,MI
26,Administrative & Waste Management Services,3,1610,0.078431263,14073,179431,1610,MI
26,Educational Services,3,4038,0.045188934,17423,385559,4038,MI
26,Health Care,3,5438,0.053666664,30148,561764,5438,MI
26,Social Assistance Services,3,906,0.115138897,9678,84055,906,MI
26,"Arts, Entertainment, Recreation",3,787,0.050408965,4197,83259,787,MI
26,Accommodation and Food Services,3,2565,0.07272814,21346,293504,2565,MI
26,Other Services (except Public Administration),3,2031,0.079843139,17123,214458,2031,MI
26,Public Administration,3,1675,0.067135968,10567,157397,1675,MI
26,Active Duty Military,3,49,0.053832117,236,4384,49,MI
27,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,1383,0.069929532,4545,64994,1383,MN
27,Utilities,3,241,0.035884152,845,23548,241,MN
27,Construction,3,1716,0.061144399,9021,147536,1716,MN
27,Manufacturing,3,3756,0.055953027,20936,374171,3756,MN
27,Wholesale Trade,3,795,0.050948347,3903,76607,795,MN
27,Retail Trade,3,2696,0.058417293,17493,299449,2696,MN
27,"Transportation, Warehousing & Storage",3,1117,0.059970185,6879,114707,1117,MN
27,Information,3,489,0.051434551,2949,57335,489,MN
27,"Finance, Insurance",3,1378,0.030871313,5062,163971,1378,MN
27,"Real Estate, Rental & Leasing",3,333,0.069417682,2774,39961,333,MN
27,"Professional, Scientific, Management",3,1447,0.045208687,8400,185805,1447,MN
27,Administrative & Waste Management Services,3,870,0.081171457,8933,110051,870,MN
27,Educational Services,3,2508,0.036226732,8713,240513,2508,MN
27,Health Care,3,3602,0.045706799,16431,359487,3602,MN
27,Social Assistance Services,3,800,0.129376088,10111,78152,800,MN
27,"Arts, Entertainment, Recreation",3,562,0.064717032,3824,59088,562,MN
27,Accommodation and Food Services,3,1289,0.064192784,10317,160719,1289,MN
27,Other Services (except Public Administration),3,1271,0.049780459,6485,130272,1271,MN
27,Public Administration,3,1012,0.055655372,5266,94618,1012,MN
27,Active Duty Military,3,14,0,0,1686,14,MN
28,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,350,0.060033862,2092,34847,350,MS
28,Utilities,3,114,0.113942407,1100,9654,114,MS
28,Construction,3,660,0.089608734,6960,77671,660,MS
28,Manufacturing,3,1504,0.074510297,11849,159025,1504,MS
28,Wholesale Trade,3,285,0.064348422,2067,32122,285,MS
28,Retail Trade,3,1314,0.078334652,11291,144138,1314,MS
28,"Transportation, Warehousing & Storage",3,486,0.063815817,3110,48734,486,MS
28,Information,3,150,0.072570572,1162,16012,150,MS
28,"Finance, Insurance",3,431,0.052572531,2343,44567,431,MS
28,"Real Estate, Rental & Leasing",3,149,0.08656607,1417,16369,149,MS
28,"Professional, Scientific, Management",3,448,0.060144797,2675,44476,448,MS
28,Administrative & Waste Management Services,3,332,0.116619687,4220,36186,332,MS
28,Educational Services,3,1212,0.056009425,6561,117141,1212,MS
28,Health Care,3,1416,0.074720585,11031,147630,1416,MS
28,Social Assistance Services,3,257,0.145544477,3737,25676,257,MS
28,"Arts, Entertainment, Recreation",3,284,0.07231449,2373,32815,284,MS
28,Accommodation and Food Services,3,683,0.056023822,4553,81269,683,MS
28,Other Services (except Public Administration),3,551,0.092580147,5510,59516,551,MS
28,Public Administration,3,637,0.09795377,6204,63336,637,MS
28,Active Duty Military,3,110,0.027479224,248,9025,110,MS
29,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,600,0.078933265,3682,46647,600,MO
29,Utilities,3,295,0.05006078,1359,27147,295,MO
29,Construction,3,1617,0.066703117,11102,166439,1617,MO
29,Manufacturing,3,3335,0.05963657,19153,321162,3335,MO
29,Wholesale Trade,3,775,0.074002759,5419,73227,775,MO
29,Retail Trade,3,3096,0.066081472,21666,327868,3096,MO
29,"Transportation, Warehousing & Storage",3,1152,0.074524245,8682,116499,1152,MO
29,Information,3,574,0.031368335,1839,58626,574,MO
29,"Finance, Insurance",3,1426,0.044976185,6761,150324,1426,MO
29,"Real Estate, Rental & Leasing",3,417,0.054537367,2452,44960,417,MO
29,"Professional, Scientific, Management",3,1525,0.042463307,6825,160727,1525,MO
29,Administrative & Waste Management Services,3,954,0.094144853,10178,108110,954,MO
29,Educational Services,3,2741,0.047465461,12200,257029,2741,MO
29,Health Care,3,3400,0.069904051,24574,351539,3400,MO
29,Social Assistance Services,3,642,0.135987245,7932,58329,642,MO
29,"Arts, Entertainment, Recreation",3,471,0.060240037,3132,51992,471,MO
29,Accommodation and Food Services,3,1573,0.058252086,11591,198980,1573,MO
29,Other Services (except Public Administration),3,1385,0.069346534,9414,135753,1385,MO
29,Public Administration,3,1259,0.056843887,6785,119362,1259,MO
29,Active Duty Military,3,169,0.019266413,395,20502,169,MO
30,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,552,0.082998002,3032,36531,552,MT
30,Utilities,3,51,0.170138889,882,5184,51,MT
30,Construction,3,343,0.047065203,1736,36885,343,MT
30,Manufacturing,3,194,0.063723195,1361,21358,194,MT
30,Wholesale Trade,3,95,0.031577905,319,10102,95,MT
30,Retail Trade,3,487,0.09695296,5196,53593,487,MT
30,"Transportation, Warehousing & Storage",3,200,0.112617925,2101,18656,200,MT
30,Information,3,76,0.020352497,194,9532,76,MT
30,"Finance, Insurance",3,175,0.059703938,1093,18307,175,MT
30,"Real Estate, Rental & Leasing",3,68,0.030225529,260,8602,68,MT
30,"Professional, Scientific, Management",3,219,0.023977022,576,24023,219,MT
30,Administrative & Waste Management Services,3,108,0.034983156,405,11577,108,MT
30,Educational Services,3,442,0.040447019,1578,39014,442,MT
30,Health Care,3,492,0.076241536,4380,57449,492,MT
30,Social Assistance Services,3,145,0.154862924,1898,12256,145,MT
30,"Arts, Entertainment, Recreation",3,90,0.081313896,859,10564,90,MT
30,Accommodation and Food Services,3,324,0.107542342,4413,41035,324,MT
30,Other Services (except Public Administration),3,231,0.039736272,898,22599,231,MT
30,Public Administration,3,303,0.044412278,1350,30397,303,MT
30,Active Duty Military,3,30,0,0,3762,30,MT
31,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,603,0.067316961,2933,43570,603,NE
31,Utilities,3,129,0.062887439,771,12260,129,NE
31,Construction,3,617,0.047764259,3117,65258,617,NE
31,Manufacturing,3,1008,0.05352575,5838,109069,1008,NE
31,Wholesale Trade,3,248,0.067974453,1639,24112,248,NE
31,Retail Trade,3,1011,0.086949183,9272,106637,1011,NE
31,"Transportation, Warehousing & Storage",3,480,0.054990676,2477,45044,480,NE
31,Information,3,142,0.032514317,528,16239,142,NE
31,"Finance, Insurance",3,583,0.04916664,3121,63478,583,NE
31,"Real Estate, Rental & Leasing",3,92,0.112293991,1097,9769,92,NE
31,"Professional, Scientific, Management",3,438,0.044975061,2119,47115,438,NE
31,Administrative & Waste Management Services,3,267,0.067110055,2230,33229,267,NE
31,Educational Services,3,967,0.057540864,5217,90666,967,NE
31,Health Care,3,1061,0.045082438,5105,113237,1061,NE
31,Social Assistance Services,3,262,0.096845998,2828,29201,262,NE
31,"Arts, Entertainment, Recreation",3,134,0.031548392,413,13091,134,NE
31,Accommodation and Food Services,3,404,0.032508231,1639,50418,404,NE
31,Other Services (except Public Administration),3,425,0.04996172,2023,40491,425,NE
31,Public Administration,3,418,0.033777463,1336,39553,418,NE
31,Active Duty Military,3,50,0,0,4912,50,NE
32,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,239,0.107801418,2736,25380,239,NV
32,Utilities,3,94,0.033089967,281,8492,94,NV
32,Construction,3,631,0.053809123,3901,72497,631,NV
32,Manufacturing,3,531,0.073472859,3974,54088,531,NV
32,Wholesale Trade,3,259,0.0618795,1633,26390,259,NV
32,Retail Trade,3,1348,0.070651197,10614,150231,1348,NV
32,"Transportation, Warehousing & Storage",3,520,0.06522251,3601,55211,520,NV
32,Information,3,200,0.086714046,1757,20262,200,NV
32,"Finance, Insurance",3,376,0.093398251,3568,38202,376,NV
32,"Real Estate, Rental & Leasing",3,294,0.102104294,3217,31507,294,NV
32,"Professional, Scientific, Management",3,657,0.052686505,3433,65159,657,NV
32,Administrative & Waste Management Services,3,619,0.085878825,6129,71368,619,NV
32,Educational Services,3,855,0.063091443,5007,79361,855,NV
32,Health Care,3,992,0.080655021,8048,99783,992,NV
32,Social Assistance Services,3,166,0.12328844,2197,17820,166,NV
32,"Arts, Entertainment, Recreation",3,1001,0.072792675,7791,107030,1001,NV
32,Accommodation and Food Services,3,1811,0.05238643,11157,212975,1811,NV
32,Other Services (except Public Administration),3,532,0.062061205,3695,59538,532,NV
32,Public Administration,3,608,0.086655678,4784,55207,608,NV
32,Active Duty Military,3,85,0.096764959,676,6986,85,NV
33,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,60,0.089932886,469,5215,60,NH
33,Utilities,3,87,0.046568002,365,7838,87,NH
33,Construction,3,420,0.039251483,1720,43820,420,NH
33,Manufacturing,3,945,0.066022102,6255,94741,945,NH
33,Wholesale Trade,3,173,0.040024425,721,18014,173,NH
33,Retail Trade,3,808,0.085589586,6746,78818,808,NH
33,"Transportation, Warehousing & Storage",3,205,0.05534934,1178,21283,205,NH
33,Information,3,146,0.07313785,1085,14835,146,NH
33,"Finance, Insurance",3,289,0.035492033,1038,29246,289,NH
33,"Real Estate, Rental & Leasing",3,94,0.059157059,626,10582,94,NH
33,"Professional, Scientific, Management",3,478,0.024682201,1198,48537,478,NH
33,Administrative & Waste Management Services,3,241,0.073830059,1849,25044,241,NH
33,Educational Services,3,843,0.037352468,2785,74560,843,NH
33,Health Care,3,814,0.059948772,4798,80035,814,NH
33,Social Assistance Services,3,157,0.157010915,2618,16674,157,NH
33,"Arts, Entertainment, Recreation",3,133,0.029935464,385,12861,133,NH
33,Accommodation and Food Services,3,359,0.059586138,2629,44121,359,NH
33,Other Services (except Public Administration),3,298,0.075541737,2381,31519,298,NH
33,Public Administration,3,266,0.064449984,1603,24872,266,NH
33,Active Duty Military,3,7,0,0,966,7,NH
34,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,145,0.095175366,1156,12146,145,NJ
34,Utilities,3,317,0.044834908,1457,32497,317,NJ
34,Construction,3,2198,0.038941945,9403,241462,2198,NJ
34,Manufacturing,3,3618,0.042071843,15186,360954,3618,NJ
34,Wholesale Trade,3,1454,0.043448472,6278,144493,1454,NJ
34,Retail Trade,3,4518,0.052325162,25381,485063,4518,NJ
34,"Transportation, Warehousing & Storage",3,1938,0.053436792,11432,213935,1938,NJ
34,Information,3,1174,0.032215583,3596,111623,1174,NJ
34,"Finance, Insurance",3,2858,0.029106811,7967,273716,2858,NJ
34,"Real Estate, Rental & Leasing",3,792,0.056678836,4673,82447,792,NJ
34,"Professional, Scientific, Management",3,3832,0.03706902,13436,362459,3832,NJ
34,Administrative & Waste Management Services,3,1575,0.053978829,9755,180719,1575,NJ
34,Educational Services,3,4604,0.048349076,20203,417857,4604,NJ
34,Health Care,3,4792,0.048329088,23771,491857,4792,NJ
34,Social Assistance Services,3,902,0.093278935,8688,93140,902,NJ
34,"Arts, Entertainment, Recreation",3,922,0.041426302,3885,93781,922,NJ
34,Accommodation and Food Services,3,2095,0.043360544,10602,244508,2095,NJ
34,Other Services (except Public Administration),3,1795,0.05771471,10949,189709,1795,NJ
34,Public Administration,3,1852,0.054845293,9944,181310,1852,NJ
34,Active Duty Military,3,97,0.01684797,127,7538,97,NJ
35,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,340,0.101524349,3763,37065,340,NM
35,Utilities,3,103,0.126491647,1378,10894,103,NM
35,Construction,3,497,0.100596659,5901,58660,497,NM
35,Manufacturing,3,358,0.079945283,3565,44593,358,NM
35,Wholesale Trade,3,135,0.09563196,1769,18498,135,NM
35,Retail Trade,3,758,0.075339145,6992,92807,758,NM
35,"Transportation, Warehousing & Storage",3,259,0.059168375,1847,31216,259,NM
35,Information,3,110,0.08471202,1234,14567,110,NM
35,"Finance, Insurance",3,244,0.032134513,839,26109,244,NM
35,"Real Estate, Rental & Leasing",3,133,0.028384771,378,13317,133,NM
35,"Professional, Scientific, Management",3,619,0.042619965,2621,61497,619,NM
35,Administrative & Waste Management Services,3,246,0.089681714,2843,31701,246,NM
35,Educational Services,3,920,0.073102691,6656,91050,920,NM
35,Health Care,3,851,0.099927452,9504,95109,851,NM
35,Social Assistance Services,3,216,0.151067396,3425,22672,216,NM
35,"Arts, Entertainment, Recreation",3,207,0.115689698,2319,20045,207,NM
35,Accommodation and Food Services,3,523,0.05122641,3659,71428,523,NM
35,Other Services (except Public Administration),3,415,0.086548578,4031,46575,415,NM
35,Public Administration,3,644,0.079162403,5338,67431,644,NM
35,Active Duty Military,3,91,0.058831929,412,7003,91,NM
36,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,787,0.064186296,3597,56040,787,NY
36,Utilities,3,593,0.04308647,2319,53822,593,NY
36,Construction,3,4729,0.044180805,22817,516446,4729,NY
36,Manufacturing,3,6618,0.052255255,31696,606561,6618,NY
36,Wholesale Trade,3,2250,0.047576763,10823,227485,2250,NY
36,Retail Trade,3,9011,0.045324849,43779,965894,9011,NY
36,"Transportation, Warehousing & Storage",3,3725,0.053224094,21100,396437,3725,NY
36,Information,3,2502,0.034366868,9152,266303,2502,NY
36,"Finance, Insurance",3,5212,0.026520303,14469,545582,5212,NY
36,"Real Estate, Rental & Leasing",3,1761,0.066603513,13429,201626,1761,NY
36,"Professional, Scientific, Management",3,6823,0.031965788,23052,721146,6823,NY
36,Administrative & Waste Management Services,3,3161,0.05808227,20663,355754,3161,NY
36,Educational Services,3,10887,0.039987062,39314,983168,10887,NY
36,Health Care,3,11634,0.047316088,57132,1207454,11634,NY
36,Social Assistance Services,3,2978,0.083465304,25667,307517,2978,NY
36,"Arts, Entertainment, Recreation",3,1986,0.042204971,8840,209454,1986,NY
36,Accommodation and Food Services,3,5431,0.042094984,26855,637962,5431,NY
36,Other Services (except Public Administration),3,4401,0.05455481,25234,462544,4401,NY
36,Public Administration,3,4380,0.051791306,21816,421229,4380,NY
36,Active Duty Military,3,300,0.038697442,959,24782,300,NY
37,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,536,0.082064858,4836,58929,536,NC
37,Utilities,3,398,0.03075681,1181,38398,398,NC
37,Construction,3,2463,0.055318949,15275,276126,2463,NC
37,Manufacturing,3,5283,0.061003891,33461,548506,5283,NC
37,Wholesale Trade,3,1107,0.062642824,6908,110276,1107,NC
37,Retail Trade,3,4688,0.072113022,36838,510837,4688,NC
37,"Transportation, Warehousing & Storage",3,1349,0.061060514,8823,144496,1349,NC
37,Information,3,768,0.070396732,5687,80785,768,NC
37,"Finance, Insurance",3,2005,0.038756556,7766,200379,2005,NC
37,"Real Estate, Rental & Leasing",3,725,0.079761794,5987,75061,725,NC
37,"Professional, Scientific, Management",3,2665,0.040564616,10360,255395,2665,NC
37,Administrative & Waste Management Services,3,1644,0.082366831,15418,187187,1644,NC
37,Educational Services,3,4287,0.040594684,16282,401087,4287,NC
37,Health Care,3,5158,0.061645751,32627,529266,5158,NC
37,Social Assistance Services,3,1029,0.079859724,8198,102655,1029,NC
37,"Arts, Entertainment, Recreation",3,720,0.050983248,3850,75515,720,NC
37,Accommodation and Food Services,3,2588,0.055613997,17975,323210,2588,NC
37,Other Services (except Public Administration),3,2020,0.063908553,13379,209346,2020,NC
37,Public Administration,3,1934,0.049447617,9359,189271,1934,NC
37,Active Duty Military,3,967,0.053711222,4789,89162,967,NC
38,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,431,0.06484499,2328,35901,431,ND
38,Utilities,3,51,0.00633553,25,3946,51,ND
38,Construction,3,285,0.05550077,1801,32450,285,ND
38,Manufacturing,3,279,0.068835679,1883,27355,279,ND
38,Wholesale Trade,3,125,0.027440026,334,12172,125,ND
38,Retail Trade,3,377,0.068546931,3038,44320,377,ND
38,"Transportation, Warehousing & Storage",3,159,0.02627557,447,17012,159,ND
38,Information,3,51,0.181422925,918,5060,51,ND
38,"Finance, Insurance",3,175,0.052841006,1235,23372,175,ND
38,"Real Estate, Rental & Leasing",3,31,0.11378882,458,4025,31,ND
38,"Professional, Scientific, Management",3,140,0.033119045,577,17422,140,ND
38,Administrative & Waste Management Services,3,67,0.026086957,168,6440,67,ND
38,Educational Services,3,368,0.041398187,1452,35074,368,ND
38,Health Care,3,442,0.039633756,1857,46854,442,ND
38,Social Assistance Services,3,112,0.113589668,1548,13628,112,ND
38,"Arts, Entertainment, Recreation",3,67,0.131790421,820,6222,67,ND
38,Accommodation and Food Services,3,163,0.08975,1795,20000,163,ND
38,Other Services (except Public Administration),3,155,0.021607408,378,17494,155,ND
38,Public Administration,3,177,0.071856287,1356,18871,177,ND
38,Active Duty Military,3,47,0,0,6943,47,ND
39,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,651,0.083503621,5108,61171,651,OH
39,Utilities,3,464,0.038237494,1687,44119,464,OH
39,Construction,3,2662,0.058602075,15893,271202,2662,OH
39,Manufacturing,3,8732,0.062530339,52428,838441,8732,OH
39,Wholesale Trade,3,1433,0.050936049,7338,144063,1433,OH
39,Retail Trade,3,6049,0.07185412,44275,616179,6049,OH
39,"Transportation, Warehousing & Storage",3,1990,0.069195691,14233,205692,1990,OH
39,Information,3,920,0.053426164,5149,96376,920,OH
39,"Finance, Insurance",3,2465,0.034033558,8807,258774,2465,OH
39,"Real Estate, Rental & Leasing",3,756,0.077229564,5815,75295,756,OH
39,"Professional, Scientific, Management",3,2962,0.045246859,13042,288241,2962,OH
39,Administrative & Waste Management Services,3,1852,0.091742845,18436,200953,1852,OH
39,Educational Services,3,5038,0.048567414,22499,463253,5038,OH
39,Health Care,3,7065,0.056988976,40124,704066,7065,OH
39,Social Assistance Services,3,1397,0.123388702,16981,137622,1397,OH
39,"Arts, Entertainment, Recreation",3,919,0.048732283,4315,88545,919,OH
39,Accommodation and Food Services,3,3317,0.067842835,25672,378404,3317,OH
39,Other Services (except Public Administration),3,2344,0.071795004,16682,232356,2344,OH
39,Public Administration,3,2025,0.0601007,12044,200397,2025,OH
39,Active Duty Military,3,82,0,0,8036,82,OH
40,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,1011,0.068486812,6660,97245,1011,OK
40,Utilities,3,208,0.041075906,901,21935,208,OK
40,Construction,3,1068,0.085287364,10177,119326,1068,OK
40,Manufacturing,3,1687,0.086261999,14953,173344,1687,OK
40,Wholesale Trade,3,417,0.077724376,3574,45983,417,OK
40,Retail Trade,3,1695,0.088229081,17960,203561,1695,OK
40,"Transportation, Warehousing & Storage",3,631,0.10758543,6876,63912,631,OK
40,Information,3,234,0.076480174,2112,27615,234,OK
40,"Finance, Insurance",3,571,0.061860327,4382,70837,571,OK
40,"Real Estate, Rental & Leasing",3,254,0.093574363,2847,30425,254,OK
40,"Professional, Scientific, Management",3,681,0.052534811,4486,85391,681,OK
40,Administrative & Waste Management Services,3,481,0.083139648,4686,56363,481,OK
40,Educational Services,3,1504,0.076525477,11785,154001,1504,OK
40,Health Care,3,1701,0.088847632,16558,186364,1701,OK
40,Social Assistance Services,3,318,0.109845763,3974,36178,318,OK
40,"Arts, Entertainment, Recreation",3,369,0.111413325,4301,38604,369,OK
40,Accommodation and Food Services,3,872,0.052565821,5764,109653,872,OK
40,Other Services (except Public Administration),3,829,0.080188102,7213,89951,829,OK
40,Public Administration,3,947,0.079980885,8201,102537,947,OK
40,Active Duty Military,3,158,0.045115265,683,15139,158,OK
41,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,652,0.104059926,6682,64213,652,OR
41,Utilities,3,162,0.034339009,486,14153,162,OR
41,Construction,3,958,0.069487988,7292,104939,958,OR
41,Manufacturing,3,1898,0.05665721,11743,207264,1898,OR
41,Wholesale Trade,3,523,0.063547197,3531,55565,523,OR
41,Retail Trade,3,1942,0.060271976,12902,214063,1942,OR
41,"Transportation, Warehousing & Storage",3,574,0.079379959,4742,59738,574,OR
41,Information,3,315,0.075109599,2450,32619,315,OR
41,"Finance, Insurance",3,663,0.061698256,4069,65950,663,OR
41,"Real Estate, Rental & Leasing",3,347,0.076856014,2821,36705,347,OR
41,"Professional, Scientific, Management",3,1162,0.046583264,5172,111027,1162,OR
41,Administrative & Waste Management Services,3,633,0.143896814,10420,72413,633,OR
41,Educational Services,3,1645,0.053671473,7731,144043,1645,OR
41,Health Care,3,2017,0.059090326,11973,202622,2017,OR
41,Social Assistance Services,3,456,0.100792466,4795,47573,456,OR
41,"Arts, Entertainment, Recreation",3,384,0.078616965,2824,35921,384,OR
41,Accommodation and Food Services,3,1115,0.062662901,8631,137737,1115,OR
41,Other Services (except Public Administration),3,822,0.108365386,9551,88137,822,OR
41,Public Administration,3,822,0.078457284,5759,73403,822,OR
41,Active Duty Military,3,23,0.068653539,129,1879,23,OR
42,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,1167,0.058771357,5036,85688,1167,PA
42,Utilities,3,644,0.060415012,3651,60432,644,PA
42,Construction,3,3434,0.054180221,18187,335676,3434,PA
