Sector,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,White only,Less than High School,23,36411,4299532,36411
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,White only,High School,23,115127,12117905,115127
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,White only,Some College,23,125066,12994322,125066
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,White only,Bachelors Degree or more,23,114903,11484036,114903
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Black/African American only,Less than High School,23,4253,538557,4253
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Black/African American only,High School,23,13338,1869620,13338
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Black/African American only,Some College,23,13677,1898112,13677
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Black/African American only,Bachelors Degree or more,23,6211,829245,6211
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Asian only,Less than High School,23,2360,262888,2360
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Asian only,High School,23,3568,433074,3568
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Asian only,Some College,23,5732,631438,5732
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Asian only,Bachelors Degree or more,23,15053,1631856,15053
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Some other race(s),Less than High School,23,10667,1471470,10667
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Some other race(s),High School,23,11182,1464641,11182
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Some other race(s),Some College,23,9908,1211767,9908
"Private, for profit business or of an individual, for wages,.salary, or commissions",,1,Some other race(s),Bachelors Degree or more,23,4549,538862,4549
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,White only,Less than High School,23,1658,158279,1658
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,White only,High School,23,9395,855333,9395
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,White only,Some College,23,20758,1896738,20758
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,White only,Bachelors Degree or more,23,33861,3080841,33861
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Black/African American only,Less than High School,23,423,47211,423
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Black/African American only,High School,23,1368,161199,1368
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Black/African American only,Some College,23,3009,363932,3009
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Black/African American only,Bachelors Degree or more,23,2702,309966,2702
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Asian only,Less than High School,23,125,13464,125
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Asian only,High School,23,235,23756,235
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Asian only,Some College,23,708,67035,708
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Asian only,Bachelors Degree or more,23,2465,240267,2465
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Some other race(s),Less than High School,23,338,35675,338
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Some other race(s),High School,23,678,69877,678
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Some other race(s),Some College,23,1378,140550,1378
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,0,Some other race(s),Bachelors Degree or more,23,1323,138751,1323
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,White only,Less than High School,23,1693,162507,1693
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,White only,High School,23,4970,458884,4970
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,White only,Some College,23,7985,757977,7985
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,White only,Bachelors Degree or more,23,18960,1714030,18960
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Black/African American only,Less than High School,23,386,36757,386
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Black/African American only,High School,23,973,118085,973
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Black/African American only,Some College,23,1267,155283,1267
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Black/African American only,Bachelors Degree or more,23,1207,148178,1207
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Asian only,Less than High School,23,90,10008,90
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Asian only,High School,23,165,15771,165
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Asian only,Some College,23,389,38446,389
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Asian only,Bachelors Degree or more,23,1821,179155,1821
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Some other race(s),Less than High School,23,370,40198,370
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Some other race(s),High School,23,495,54355,495
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Some other race(s),Some College,23,634,70531,634
"Employee of a private not-for-profit, tax-exempt, or charitable organization",,1,Some other race(s),Bachelors Degree or more,23,713,74106,713
"Local, State or Federal (city, county, etc.) government employee",,0,White only,Less than High School,23,1921,190821,1921
"Local, State or Federal (city, county, etc.) government employee",,0,White only,High School,23,14785,1312957,14785
"Local, State or Federal (city, county, etc.) government employee",,0,White only,Some College,23,25222,2297286,25222
"Local, State or Federal (city, county, etc.) government employee",,0,White only,Bachelors Degree or more,23,53006,4801065,53006
"Local, State or Federal (city, county, etc.) government employee",,0,Black/African American only,Less than High School,23,717,73328,717
"Local, State or Federal (city, county, etc.) government employee",,0,Black/African American only,High School,23,3073,349180,3073
"Local, State or Federal (city, county, etc.) government employee",,0,Black/African American only,Some College,23,5940,676878,5940
"Local, State or Federal (city, county, etc.) government employee",,0,Black/African American only,Bachelors Degree or more,23,6926,772602,6926
"Local, State or Federal (city, county, etc.) government employee",,0,Asian only,Less than High School,23,209,19068,209
"Local, State or Federal (city, county, etc.) government employee",,0,Asian only,High School,23,376,35756,376
"Local, State or Federal (city, county, etc.) government employee",,0,Asian only,Some College,23,1072,103322,1072
"Local, State or Federal (city, county, etc.) government employee",,0,Asian only,Bachelors Degree or more,23,3255,312428,3255
"Local, State or Federal (city, county, etc.) government employee",,0,Some other race(s),Less than High School,23,557,53111,557
"Local, State or Federal (city, county, etc.) government employee",,0,Some other race(s),High School,23,1454,129596,1454
"Local, State or Federal (city, county, etc.) government employee",,0,Some other race(s),Some College,23,2801,256702,2801
"Local, State or Federal (city, county, etc.) government employee",,0,Some other race(s),Bachelors Degree or more,23,2697,258479,2697
"Local, State or Federal (city, county, etc.) government employee",,1,White only,Less than High School,23,1910,176737,1910
"Local, State or Federal (city, county, etc.) government employee",,1,White only,High School,23,15691,1432393,15691
"Local, State or Federal (city, county, etc.) government employee",,1,White only,Some College,23,26053,2506842,26053
"Local, State or Federal (city, county, etc.) government employee",,1,White only,Bachelors Degree or more,23,36704,3398869,36704
"Local, State or Federal (city, county, etc.) government employee",,1,Black/African American only,Less than High School,23,590,62774,590
"Local, State or Federal (city, county, etc.) government employee",,1,Black/African American only,High School,23,2745,321615,2745
"Local, State or Federal (city, county, etc.) government employee",,1,Black/African American only,Some College,23,4154,492513,4154
"Local, State or Federal (city, county, etc.) government employee",,1,Black/African American only,Bachelors Degree or more,23,3566,414008,3566
"Local, State or Federal (city, county, etc.) government employee",,1,Asian only,Less than High School,23,136,14265,136
"Local, State or Federal (city, county, etc.) government employee",,1,Asian only,High School,23,403,38505,403
"Local, State or Federal (city, county, etc.) government employee",,1,Asian only,Some College,23,1121,110310,1121
"Local, State or Federal (city, county, etc.) government employee",,1,Asian only,Bachelors Degree or more,23,2912,283726,2912
"Local, State or Federal (city, county, etc.) government employee",,1,Some other race(s),Less than High School,23,471,44411,471
"Local, State or Federal (city, county, etc.) government employee",,1,Some other race(s),High School,23,1563,135782,1563
"Local, State or Federal (city, county, etc.) government employee",,1,Some other race(s),Some College,23,2524,248006,2524
"Local, State or Federal (city, county, etc.) government employee",,1,Some other race(s),Bachelors Degree or more,23,1749,178220,1749
Self employed,,0,White only,Less than High School,23,2523,264129,2523
Self employed,,0,White only,High School,23,9576,895821,9576
Self employed,,0,White only,Some College,23,13530,1241877,13530
Self employed,,0,White only,Bachelors Degree or more,23,16759,1500704,16759
Self employed,,0,Black/African American only,Less than High School,23,238,27194,238
Self employed,,0,Black/African American only,High School,23,656,76419,656
Self employed,,0,Black/African American only,Some College,23,1006,119112,1006
Self employed,,0,Black/African American only,Bachelors Degree or more,23,720,83425,720
Self employed,,0,Asian only,Less than High School,23,389,38542,389
Self employed,,0,Asian only,High School,23,542,58129,542
Self employed,,0,Asian only,Some College,23,668,70634,668
Self employed,,0,Asian only,Bachelors Degree or more,23,1405,145254,1405
Self employed,,0,Some other race(s),Less than High School,23,778,99690,778
Self employed,,0,Some other race(s),High School,23,642,75511,642
Self employed,,0,Some other race(s),Some College,23,798,86214,798
Self employed,,0,Some other race(s),Bachelors Degree or more,23,561,61498,561
Self employed,,1,White only,Less than High School,23,6768,711690,6768
Self employed,,1,White only,High School,23,20404,1921677,20404
Self employed,,1,White only,Some College,23,21638,2000956,21638
Self employed,,1,White only,Bachelors Degree or more,23,28836,2628355,28836
Self employed,,1,Black/African American only,Less than High School,23,463,53424,463
Self employed,,1,Black/African American only,High School,23,1070,143470,1070
Self employed,,1,Black/African American only,Some College,23,1154,153670,1154
Self employed,,1,Black/African American only,Bachelors Degree or more,23,932,114379,932
Self employed,,1,Asian only,Less than High School,23,477,47129,477
Self employed,,1,Asian only,High School,23,623,70536,623
Self employed,,1,Asian only,Some College,23,865,98646,865
Self employed,,1,Asian only,Bachelors Degree or more,23,2222,233318,2222
Self employed,,1,Some other race(s),Less than High School,23,1352,176477,1352
Self employed,,1,Some other race(s),High School,23,1092,131920,1092
Self employed,,1,Some other race(s),Some College,23,1040,115850,1040
Self employed,,1,Some other race(s),Bachelors Degree or more,23,753,85499,753
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,,,24,853641,92751036,853641
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,,,24,52437,5206102,52437
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,,,24,113622,10854901,113622
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,,,24,8920,782244,8920
"Local, State or Federal (city, county, etc.) government employee",0,,,,24,211891,20219323,211891
"Local, State or Federal (city, county, etc.) government employee",1,,,,24,14412,1282232,14412
Self employed,0,,,,24,130011,12589394,130011
Self employed,1,,,,24,10469,941755,10469
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,,Less than High School,25,77814,9499860,77814
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,,High School,25,233257,25681522,233257
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,,Some College,25,293382,31791306,293382
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,,Bachelors Degree or more,25,249188,25778348,249188
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,,Less than High School,25,7540,790167,7540
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,,High School,25,17802,1753964,17802
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,,Some College,25,18512,1841352,18512
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,,Bachelors Degree or more,25,8583,820619,8583
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,,Less than High School,25,3857,407093,3857
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,,High School,25,15841,1547534,15841
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,,Some College,25,33481,3246324,33481
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,,Bachelors Degree or more,25,60443,5653950,60443
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,,Less than High School,25,1226,97006,1226
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,,High School,25,2438,209726,2438
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,,Some College,25,2647,244168,2647
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,,Bachelors Degree or more,25,2609,231344,2609
"Local, State or Federal (city, county, etc.) government employee",0,,,Less than High School,25,5492,544460,5492
"Local, State or Federal (city, county, etc.) government employee",0,,,High School,25,36624,3457656,36624
"Local, State or Federal (city, county, etc.) government employee",0,,,Some College,25,63927,6240381,63927
"Local, State or Federal (city, county, etc.) government employee",0,,,Bachelors Degree or more,25,105848,9976826,105848
"Local, State or Federal (city, county, etc.) government employee",1,,,Less than High School,25,1019,90055,1019
"Local, State or Federal (city, county, etc.) government employee",1,,,High School,25,3466,298128,3466
"Local, State or Federal (city, county, etc.) government employee",1,,,Some College,25,4960,451478,4960
"Local, State or Federal (city, county, etc.) government employee",1,,,Bachelors Degree or more,25,4967,442571,4967
Self employed,0,,,Less than High School,25,11580,1280912,11580
Self employed,0,,,High School,25,31684,3119703,31684
Self employed,0,,,Some College,25,37475,3594546,37475
Self employed,0,,,Bachelors Degree or more,25,49272,4594233,49272
Self employed,1,,,Less than High School,25,1408,137363,1408
Self employed,1,,,High School,25,2921,253780,2921
Self employed,1,,,Some College,25,3224,292413,3224
Self employed,1,,,Bachelors Degree or more,25,2916,258199,2916
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,White only,,26,668674,69440570,668674
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Black/African American only,,26,75244,10232843,75244
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Asian only,,26,49656,5464919,49656
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Some other race(s),,26,60067,7612704,60067
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,White only,,26,41897,4051781,41897
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Black/African American only,,26,5320,597812,5320
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Asian only,,26,1480,148926,1480
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Some other race(s),,26,3740,407583,3740
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,White only,,26,92156,8478611,92156
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Black/African American only,,26,10285,1233555,10285
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Asian only,,26,5765,568442,5765
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Some other race(s),,26,5416,574293,5416
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,White only,,26,7124,605978,7124
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Black/African American only,,26,1050,107056,1050
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Asian only,,26,233,19460,233
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Some other race(s),,26,513,49750,513
"Local, State or Federal (city, county, etc.) government employee",0,,White only,,26,164385,15166385,164385
"Local, State or Federal (city, county, etc.) government employee",0,,Black/African American only,,26,25618,2955832,25618
"Local, State or Federal (city, county, etc.) government employee",0,,Asian only,,26,9149,886393,9149
"Local, State or Federal (city, county, etc.) government employee",0,,Some other race(s),,26,12739,1210713,12739
"Local, State or Federal (city, county, etc.) government employee",1,,White only,,26,10907,950585,10907
"Local, State or Federal (city, county, etc.) government employee",1,,Black/African American only,,26,2093,207066,2093
"Local, State or Federal (city, county, etc.) government employee",1,,Asian only,,26,335,30987,335
"Local, State or Federal (city, county, etc.) government employee",1,,Some other race(s),,26,1077,93594,1077
Self employed,0,,White only,,26,110956,10367183,110956
Self employed,0,,Black/African American only,,26,5672,711176,5672
Self employed,0,,Asian only,,26,6921,735598,6921
Self employed,0,,Some other race(s),,26,6462,775437,6462
Self employed,1,,White only,,26,9078,798026,9078
Self employed,1,,Black/African American only,,26,567,59917,567
Self employed,1,,Asian only,,26,270,26590,270
Self employed,1,,Some other race(s),,26,554,57222,554
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,White only,Less than High School,27,51010,6033650,51010
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,White only,High School,27,185185,19334005,185185
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,White only,Some College,27,233337,24118629,233337
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,White only,Bachelors Degree or more,27,199142,19954286,199142
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Black/African American only,Less than High School,27,7124,910446,7124
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Black/African American only,High School,27,23734,3276371,23734
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Black/African American only,Some College,27,30240,4179633,30240
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Black/African American only,Bachelors Degree or more,27,14146,1866393,14146
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Asian only,Less than High School,27,4583,498112,4583
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Asian only,High School,27,6839,813689,6839
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Asian only,Some College,27,11039,1214713,11039
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Asian only,Bachelors Degree or more,27,27195,2938405,27195
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Some other race(s),Less than High School,27,15097,2057652,15097
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Some other race(s),High School,27,17499,2257457,17499
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Some other race(s),Some College,27,18766,2278331,18766
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,,Some other race(s),Bachelors Degree or more,27,8705,1019264,8705
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,White only,Less than High School,27,5261,538947,5261
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,White only,High School,27,14480,1382697,14480
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,White only,Some College,27,14973,1454413,14973
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,White only,Bachelors Degree or more,27,7183,675724,7183
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Black/African American only,Less than High School,27,980,104796,980
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Black/African American only,High School,27,1906,216715,1906
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Black/African American only,Some College,27,1888,217005,1888
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Black/African American only,Bachelors Degree or more,27,546,59296,546
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Asian only,Less than High School,27,254,25658,254
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Asian only,High School,27,295,31935,295
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Asian only,Some College,27,422,41752,422
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Asian only,Bachelors Degree or more,27,509,49581,509
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Some other race(s),Less than High School,27,1045,120766,1045
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Some other race(s),High School,27,1121,122617,1121
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Some other race(s),Some College,27,1229,128182,1229
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,,Some other race(s),Bachelors Degree or more,27,345,36018,345
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,White only,Less than High School,27,2445,252945,2445
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,White only,High School,27,12402,1151979,12402
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,White only,Some College,27,26700,2471524,26700
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,White only,Bachelors Degree or more,27,50609,4602163,50609
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Black/African American only,Less than High School,27,614,67783,614
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Black/African American only,High School,27,2047,248997,2047
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Black/African American only,Some College,27,3902,477484,3902
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Black/African American only,Bachelors Degree or more,27,3722,439291,3722
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Asian only,Less than High School,27,183,19937,183
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Asian only,High School,27,358,36148,358
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Asian only,Some College,27,1028,100643,1028
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Asian only,Bachelors Degree or more,27,4196,411714,4196
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Some other race(s),Less than High School,27,615,66428,615
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Some other race(s),High School,27,1034,110410,1034
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Some other race(s),Some College,27,1851,196673,1851
"Employee of a private not-for-profit, tax-exempt, or charitable organization",0,,Some other race(s),Bachelors Degree or more,27,1916,200782,1916
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,White only,Less than High School,27,906,67841,906
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,White only,High School,27,1963,162238,1963
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,White only,Some College,27,2043,183191,2043
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,White only,Bachelors Degree or more,27,2212,192708,2212
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Black/African American only,Less than High School,27,195,16185,195
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Black/African American only,High School,27,294,30287,294
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Black/African American only,Some College,27,374,41731,374
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Black/African American only,Bachelors Degree or more,27,187,18853,187
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Asian only,Less than High School,27,32,3535,32
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Asian only,High School,27,42,3379,42
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Asian only,Some College,27,69,4838,69
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Asian only,Bachelors Degree or more,27,90,7708,90
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Some other race(s),Less than High School,27,93,9445,93
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Some other race(s),High School,27,139,13822,139
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Some other race(s),Some College,27,161,14408,161
"Employee of a private not-for-profit, tax-exempt, or charitable organization",1,,Some other race(s),Bachelors Degree or more,27,120,12075,120
"Local, State or Federal (city, county, etc.) government employee",0,,White only,Less than High School,27,3171,307343,3171
"Local, State or Federal (city, county, etc.) government employee",0,,White only,High School,27,27813,2519831,27813
"Local, State or Federal (city, county, etc.) government employee",0,,White only,Some College,27,47647,4483020,47647
"Local, State or Federal (city, county, etc.) government employee",0,,White only,Bachelors Degree or more,27,85754,7856191,85754
"Local, State or Federal (city, county, etc.) government employee",0,,Black/African American only,Less than High School,27,1103,119984,1103
"Local, State or Federal (city, county, etc.) government employee",0,,Black/African American only,High School,27,5278,620236,5278
"Local, State or Federal (city, county, etc.) government employee",0,,Black/African American only,Some College,27,9321,1088707,9321
"Local, State or Federal (city, county, etc.) government employee",0,,Black/African American only,Bachelors Degree or more,27,9916,1126905,9916
"Local, State or Federal (city, county, etc.) government employee",0,,Asian only,Less than High School,27,318,30657,318
"Local, State or Federal (city, county, etc.) government employee",0,,Asian only,High School,27,741,70407,741
"Local, State or Federal (city, county, etc.) government employee",0,,Asian only,Some College,27,2095,204049,2095
"Local, State or Federal (city, county, etc.) government employee",0,,Asian only,Bachelors Degree or more,27,5995,581280,5995
"Local, State or Federal (city, county, etc.) government employee",0,,Some other race(s),Less than High School,27,900,86476,900
"Local, State or Federal (city, county, etc.) government employee",0,,Some other race(s),High School,27,2792,247182,2792
"Local, State or Federal (city, county, etc.) government employee",0,,Some other race(s),Some College,27,4864,464605,4864
"Local, State or Federal (city, county, etc.) government employee",0,,Some other race(s),Bachelors Degree or more,27,4183,412450,4183
"Local, State or Federal (city, county, etc.) government employee",1,,White only,Less than High School,27,660,60215,660
"Local, State or Federal (city, county, etc.) government employee",1,,White only,High School,27,2663,225519,2663
"Local, State or Federal (city, county, etc.) government employee",1,,White only,Some College,27,3628,321108,3628
"Local, State or Federal (city, county, etc.) government employee",1,,White only,Bachelors Degree or more,27,3956,343743,3956
"Local, State or Federal (city, county, etc.) government employee",1,,Black/African American only,Less than High School,27,204,16118,204
"Local, State or Federal (city, county, etc.) government employee",1,,Black/African American only,High School,27,540,50559,540
"Local, State or Federal (city, county, etc.) government employee",1,,Black/African American only,Some College,27,773,80684,773
"Local, State or Federal (city, county, etc.) government employee",1,,Black/African American only,Bachelors Degree or more,27,576,59705,576
"Local, State or Federal (city, county, etc.) government employee",1,,Asian only,Less than High School,27,27,2676,27
"Local, State or Federal (city, county, etc.) government employee",1,,Asian only,High School,27,38,3854,38
"Local, State or Federal (city, county, etc.) government employee",1,,Asian only,Some College,27,98,9583,98
"Local, State or Federal (city, county, etc.) government employee",1,,Asian only,Bachelors Degree or more,27,172,14874,172
"Local, State or Federal (city, county, etc.) government employee",1,,Some other race(s),Less than High School,27,128,11046,128
"Local, State or Federal (city, county, etc.) government employee",1,,Some other race(s),High School,27,225,18196,225
"Local, State or Federal (city, county, etc.) government employee",1,,Some other race(s),Some College,27,461,40103,461
"Local, State or Federal (city, county, etc.) government employee",1,,Some other race(s),Bachelors Degree or more,27,263,24249,263
Self employed,0,,White only,Less than High School,27,8192,870856,8192
Self employed,0,,White only,High School,27,27428,2599738,27428
Self employed,0,,White only,Some College,27,32364,2994872,32364
Self employed,0,,White only,Bachelors Degree or more,27,42972,3901717,42972
Self employed,0,,Black/African American only,Less than High School,27,593,69317,593
Self employed,0,,Black/African American only,High School,27,1557,202579,1557
Self employed,0,,Black/African American only,Some College,27,1967,251920,1967
Self employed,0,,Black/African American only,Bachelors Degree or more,27,1555,187360,1555
Self employed,0,,Asian only,Less than High School,27,823,81516,823
Self employed,0,,Asian only,High School,27,1109,123258,1109
Self employed,0,,Asian only,Some College,27,1463,161465,1463
Self employed,0,,Asian only,Bachelors Degree or more,27,3526,369359,3526
Self employed,0,,Some other race(s),Less than High School,27,1972,259223,1972
Self employed,0,,Some other race(s),High School,27,1590,194128,1590
Self employed,0,,Some other race(s),Some College,27,1681,186289,1681
Self employed,0,,Some other race(s),Bachelors Degree or more,27,1219,135797,1219
Self employed,1,,White only,Less than High School,27,1099,104963,1099
Self employed,1,,White only,High School,27,2552,217760,2552
Self employed,1,,White only,Some College,27,2804,247961,2804
Self employed,1,,White only,Bachelors Degree or more,27,2623,227342,2623
Self employed,1,,Black/African American only,Less than High School,27,108,11301,108
Self employed,1,,Black/African American only,High School,27,169,17310,169
Self employed,1,,Black/African American only,Some College,27,193,20862,193
Self employed,1,,Black/African American only,Bachelors Degree or more,27,97,10444,97
Self employed,1,,Asian only,Less than High School,27,43,4155,43
Self employed,1,,Asian only,High School,27,56,5407,56
Self employed,1,,Asian only,Some College,27,70,7815,70
Self employed,1,,Asian only,Bachelors Degree or more,27,101,9213,101
Self employed,1,,Some other race(s),Less than High School,27,158,16944,158
Self employed,1,,Some other race(s),High School,27,144,13303,144
Self employed,1,,Some other race(s),Some College,27,157,15775,157
Self employed,1,,Some other race(s),Bachelors Degree or more,27,95,11200,95
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,0,,,28,390834,41980847,390834
"Private, for profit business or of an individual, for wages,.salary, or commissions",0,1,,,28,462807,50770189,462807
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,0,,,28,23239,2298966,23239
"Private, for profit business or of an individual, for wages,.salary, or commissions",1,1,,,28,29198,2907136,29198
