Industry21,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
Information,,1,Black/African American only,,22,1212,161403,1212
Information,,1,Asian only,,22,1171,124653,1171
Information,,1,Some other race(s),,22,860,101304,860
"Finance, Insurance",,0,White only,,22,31079,3039934,31079
"Finance, Insurance",,0,Black/African American only,,22,3798,483976,3798
"Finance, Insurance",,0,Asian only,,22,2300,244266,2300
"Finance, Insurance",,0,Some other race(s),,22,1817,206288,1817
"Finance, Insurance",,1,White only,,22,23015,2313001,23015
"Finance, Insurance",,1,Black/African American only,,22,1528,200888,1528
"Finance, Insurance",,1,Asian only,,22,2155,230638,2155
"Finance, Insurance",,1,Some other race(s),,22,965,118102,965
"Real Estate, Rental & Leasing",,0,White only,,22,9935,1000151,9935
"Real Estate, Rental & Leasing",,0,Black/African American only,,22,885,116066,885
"Real Estate, Rental & Leasing",,0,Asian only,,22,522,51436,522
"Real Estate, Rental & Leasing",,0,Some other race(s),,22,653,74905,653
"Real Estate, Rental & Leasing",,1,White only,,22,10906,1134199,10906
"Real Estate, Rental & Leasing",,1,Black/African American only,,22,999,135182,999
"Real Estate, Rental & Leasing",,1,Asian only,,22,517,54722,517
"Real Estate, Rental & Leasing",,1,Some other race(s),,22,916,116013,916
"Professional, Scientific, Management",,0,White only,,22,35561,3462191,35561
"Professional, Scientific, Management",,0,Black/African American only,,22,2380,283907,2380
"Professional, Scientific, Management",,0,Asian only,,22,3247,346010,3247
"Professional, Scientific, Management",,0,Some other race(s),,22,1788,194196,1788
"Professional, Scientific, Management",,1,White only,,22,45040,4393797,45040
"Professional, Scientific, Management",,1,Black/African American only,,22,2179,278869,2179
"Professional, Scientific, Management",,1,Asian only,,22,5435,597526,5435
"Professional, Scientific, Management",,1,Some other race(s),,22,1850,210915,1850
Administrative & Waste Management Services,,0,White only,,22,15522,1639498,15522
Administrative & Waste Management Services,,0,Black/African American only,,22,3006,393805,3006
Administrative & Waste Management Services,,0,Asian only,,22,741,80702,741
Administrative & Waste Management Services,,0,Some other race(s),,22,2041,257372,2041
Administrative & Waste Management Services,,1,White only,,22,24275,2696582,24275
Administrative & Waste Management Services,,1,Black/African American only,,22,3976,542006,3976
Administrative & Waste Management Services,,1,Asian only,,22,958,103516,958
Administrative & Waste Management Services,,1,Some other race(s),,22,3507,485937,3507
Educational Services,,0,White only,,22,81933,7363108,81933
Educational Services,,0,Black/African American only,,22,8795,977125,8795
Educational Services,,0,Asian only,,22,3754,363379,3754
Educational Services,,0,Some other race(s),,22,4571,445089,4571
Educational Services,,1,White only,,22,36154,3325506,36154
Educational Services,,1,Black/African American only,,22,3819,452383,3819
Educational Services,,1,Asian only,,22,2643,259203,2643
Educational Services,,1,Some other race(s),,22,2240,227760,2240
Health Care,,0,White only,,22,94730,9187921,94730
Health Care,,0,Black/African American only,,22,16334,2112812,16334
Health Care,,0,Asian only,,22,7311,762382,7311
Health Care,,0,Some other race(s),,22,6468,732383,6468
Health Care,,1,White only,,22,27043,2647953,27043
Health Care,,1,Black/African American only,,22,3927,515095,3927
Health Care,,1,Asian only,,22,3572,373832,3572
Health Care,,1,Some other race(s),,22,1888,208942,1888
Social Assistance Services,,0,White only,,22,19857,1922044,19857
Social Assistance Services,,0,Black/African American only,,22,4351,534003,4351
Social Assistance Services,,0,Asian only,,22,1085,109531,1085
Social Assistance Services,,0,Some other race(s),,22,2251,252102,2251
Social Assistance Services,,1,White only,,22,3806,356661,3806
Social Assistance Services,,1,Black/African American only,,22,1022,125341,1022
Social Assistance Services,,1,Asian only,,22,267,25453,267
Social Assistance Services,,1,Some other race(s),,22,393,42988,393
"Arts, Entertainment, Recreation",,0,White only,,22,10882,1080728,10882
"Arts, Entertainment, Recreation",,0,Black/African American only,,22,898,114643,898
"Arts, Entertainment, Recreation",,0,Asian only,,22,652,70262,652
"Arts, Entertainment, Recreation",,0,Some other race(s),,22,1142,113945,1142
"Arts, Entertainment, Recreation",,1,White only,,22,12268,1270951,12268
"Arts, Entertainment, Recreation",,1,Black/African American only,,22,1099,148954,1099
"Arts, Entertainment, Recreation",,1,Asian only,,22,566,61420,566
"Arts, Entertainment, Recreation",,1,Some other race(s),,22,1339,152854,1339
Accommodation and Food Services,,0,White only,,22,33621,3829707,33621
Accommodation and Food Services,,0,Black/African American only,,22,4786,658486,4786
Accommodation and Food Services,,0,Asian only,,22,2850,319350,2850
Accommodation and Food Services,,0,Some other race(s),,22,4535,594872,4535
Accommodation and Food Services,,1,White only,,22,27043,3285289,27043
Accommodation and Food Services,,1,Black/African American only,,22,4103,595691,4103
Accommodation and Food Services,,1,Asian only,,22,3139,361972,3139
Accommodation and Food Services,,1,Some other race(s),,22,4669,668652,4669
Other Services (except Public Administration)       ,,0,White only,,22,28170,2815746,28170
Other Services (except Public Administration)       ,,0,Black/African American only,,22,2898,351227,2898
Other Services (except Public Administration)       ,,0,Asian only,,22,2520,286656,2520
Other Services (except Public Administration)       ,,0,Some other race(s),,22,2658,319607,2658
Other Services (except Public Administration)       ,,1,White only,,22,25534,2563576,25534
Other Services (except Public Administration)       ,,1,Black/African American only,,22,2498,324412,2498
Other Services (except Public Administration)       ,,1,Asian only,,22,1597,179927,1597
Other Services (except Public Administration)       ,,1,Some other race(s),,22,2267,286820,2267
Public Administration,,0,White only,,22,23062,2102001,23062
Public Administration,,0,Black/African American only,,22,5386,615449,5386
Public Administration,,0,Asian only,,22,1269,121349,1269
Public Administration,,0,Some other race(s),,22,2142,195473,2142
Public Administration,,1,White only,,22,31162,3008615,31162
Public Administration,,1,Black/African American only,,22,3866,461326,3866
Public Administration,,1,Asian only,,22,1364,133639,1364
Public Administration,,1,Some other race(s),,22,2139,206336,2139
Active Duty Military,,0,White only,,22,924,82819,924
Active Duty Military,,0,Black/African American only,,22,290,28620,290
Active Duty Military,,0,Asian only,,22,49,4040,49
Active Duty Military,,0,Some other race(s),,22,143,14778,143
Active Duty Military,,1,White only,,22,7107,651723,7107
Active Duty Military,,1,Black/African American only,,22,1050,110585,1050
Active Duty Military,,1,Asian only,,22,286,26080,286
Active Duty Military,,1,Some other race(s),,22,708,66996,708
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,White only,Less than High School,23,691,84095,691
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,White only,High School,23,1264,103368,1264
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,White only,Some College,23,1576,130743,1576
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,White only,Bachelors Degree or more,23,1234,107153,1234
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Black/African American only,Less than High School,23,22,2362,22
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Black/African American only,High School,23,40,4047,40
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Black/African American only,Some College,23,35,3963,35
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Black/African American only,Bachelors Degree or more,23,37,5880,37
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Asian only,Less than High School,23,31,3831,31
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Asian only,High School,23,22,2941,22
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Asian only,Some College,23,17,1592,17
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Asian only,Bachelors Degree or more,23,61,8568,61
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Some other race(s),Less than High School,23,259,29622,259
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Some other race(s),High School,23,85,10006,85
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Some other race(s),Some College,23,66,7870,66
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Some other race(s),Bachelors Degree or more,23,37,3679,37
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,White only,Less than High School,23,4083,423141,4083
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,White only,High School,23,8587,730361,8587
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,White only,Some College,23,6018,498417,6018
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,White only,Bachelors Degree or more,23,3863,324046,3863
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Black/African American only,Less than High School,23,220,23267,220
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Black/African American only,High School,23,268,32725,268
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Black/African American only,Some College,23,151,19056,151
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Black/African American only,Bachelors Degree or more,23,64,7941,64
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Asian only,Less than High School,23,54,5749,54
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Asian only,High School,23,44,4541,44
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Asian only,Some College,23,55,6971,55
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Asian only,Bachelors Degree or more,23,124,11763,124
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Some other race(s),Less than High School,23,1102,127608,1102
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Some other race(s),High School,23,557,59954,557
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Some other race(s),Some College,23,315,28876,315
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Some other race(s),Bachelors Degree or more,23,135,14705,135
Utilities,,0,White only,Less than High School,23,30,3644,30
Utilities,,0,White only,High School,23,544,51511,544
Utilities,,0,White only,Some College,23,816,71862,816
Utilities,,0,White only,Bachelors Degree or more,23,788,74058,788
Utilities,,0,Black/African American only,Less than High School,23,11,1085,11
Utilities,,0,Black/African American only,High School,23,57,6738,57
Utilities,,0,Black/African American only,Some College,23,155,19521,155
Utilities,,0,Black/African American only,Bachelors Degree or more,23,106,13953,106
Utilities,,0,Asian only,Less than High School,23,5,547,5
Utilities,,0,Asian only,High School,23,4,418,4
Utilities,,0,Asian only,Some College,23,14,1240,14
Utilities,,0,Asian only,Bachelors Degree or more,23,109,10714,109
Utilities,,0,Some other race(s),Less than High School,23,8,806,8
Utilities,,0,Some other race(s),High School,23,41,4523,41
Utilities,,0,Some other race(s),Some College,23,41,4348,41
Utilities,,0,Some other race(s),Bachelors Degree or more,23,38,4559,38
Utilities,,1,White only,Less than High School,23,308,29829,308
Utilities,,1,White only,High School,23,2737,249102,2737
Utilities,,1,White only,Some College,23,3508,317686,3508
Utilities,,1,White only,Bachelors Degree or more,23,2345,217852,2345
Utilities,,1,Black/African American only,Less than High School,23,33,4126,33
Utilities,,1,Black/African American only,High School,23,219,26708,219
Utilities,,1,Black/African American only,Some College,23,268,33080,268
Utilities,,1,Black/African American only,Bachelors Degree or more,23,136,18432,136
Utilities,,1,Asian only,Less than High School,23,2,120,2
Utilities,,1,Asian only,High School,23,33,3570,33
Utilities,,1,Asian only,Some College,23,59,5723,59
Utilities,,1,Asian only,Bachelors Degree or more,23,187,18082,187
Utilities,,1,Some other race(s),Less than High School,23,49,4527,49
Utilities,,1,Some other race(s),High School,23,163,13644,163
Utilities,,1,Some other race(s),Some College,23,230,22393,230
Utilities,,1,Some other race(s),Bachelors Degree or more,23,86,7713,86
Construction         ,,0,White only,Less than High School,23,383,42668,383
Construction         ,,0,White only,High School,23,1906,194681,1906
Construction         ,,0,White only,Some College,23,2945,293842,2945
Construction         ,,0,White only,Bachelors Degree or more,23,1774,172169,1774
Construction         ,,0,Black/African American only,Less than High School,23,20,2854,20
Construction         ,,0,Black/African American only,High School,23,83,10218,83
Construction         ,,0,Black/African American only,Some College,23,129,14696,129
Construction         ,,0,Black/African American only,Bachelors Degree or more,23,104,11148,104
Construction         ,,0,Asian only,Less than High School,23,14,1722,14
Construction         ,,0,Asian only,High School,23,38,4320,38
Construction         ,,0,Asian only,Some College,23,48,5399,48
Construction         ,,0,Asian only,Bachelors Degree or more,23,123,12323,123
Construction         ,,0,Some other race(s),Less than High School,23,70,8260,70
Construction         ,,0,Some other race(s),High School,23,120,13534,120
Construction         ,,0,Some other race(s),Some College,23,192,23845,192
Construction         ,,0,Some other race(s),Bachelors Degree or more,23,78,8521,78
Construction         ,,1,White only,Less than High School,23,10100,1247700,10100
Construction         ,,1,White only,High School,23,25413,2690792,25413
Construction         ,,1,White only,Some College,23,18694,1910849,18694
Construction         ,,1,White only,Bachelors Degree or more,23,7511,750181,7511
Construction         ,,1,Black/African American only,Less than High School,23,552,65452,552
Construction         ,,1,Black/African American only,High School,23,1346,192414,1346
Construction         ,,1,Black/African American only,Some College,23,941,134503,941
Construction         ,,1,Black/African American only,Bachelors Degree or more,23,265,33972,265
Construction         ,,1,Asian only,Less than High School,23,187,21292,187
Construction         ,,1,Asian only,High School,23,257,32210,257
Construction         ,,1,Asian only,Some College,23,281,33969,281
Construction         ,,1,Asian only,Bachelors Degree or more,23,322,31779,322
Construction         ,,1,Some other race(s),Less than High School,23,2856,414349,2856
Construction         ,,1,Some other race(s),High School,23,2305,309976,2305
Construction         ,,1,Some other race(s),Some College,23,1318,164299,1318
Construction         ,,1,Some other race(s),Bachelors Degree or more,23,301,36503,301
Manufacturing,,0,White only,Less than High School,23,3052,335227,3052
Manufacturing,,0,White only,High School,23,11208,1055647,11208
Manufacturing,,0,White only,Some College,23,10118,960865,10118
Manufacturing,,0,White only,Bachelors Degree or more,23,9141,892811,9141
Manufacturing,,0,Black/African American only,Less than High School,23,417,46736,417
Manufacturing,,0,Black/African American only,High School,23,1451,172344,1451
Manufacturing,,0,Black/African American only,Some College,23,1309,169811,1309
Manufacturing,,0,Black/African American only,Bachelors Degree or more,23,627,76818,627
Manufacturing,,0,Asian only,Less than High School,23,586,59270,586
Manufacturing,,0,Asian only,High School,23,587,67289,587
Manufacturing,,0,Asian only,Some College,23,505,54023,505
Manufacturing,,0,Asian only,Bachelors Degree or more,23,1629,166617,1629
Manufacturing,,0,Some other race(s),Less than High School,23,990,128538,990
Manufacturing,,0,Some other race(s),High School,23,868,106085,868
Manufacturing,,0,Some other race(s),Some College,23,647,77703,647
Manufacturing,,0,Some other race(s),Bachelors Degree or more,23,393,46467,393
Manufacturing,,1,White only,Less than High School,23,7428,800867,7428
Manufacturing,,1,White only,High School,23,29950,2846313,29950
Manufacturing,,1,White only,Some College,23,27651,2641850,27651
Manufacturing,,1,White only,Bachelors Degree or more,23,23672,2284736,23672
Manufacturing,,1,Black/African American only,Less than High School,23,811,95925,811
Manufacturing,,1,Black/African American only,High School,23,2933,380869,2933
Manufacturing,,1,Black/African American only,Some College,23,2387,315706,2387
Manufacturing,,1,Black/African American only,Bachelors Degree or more,23,875,108690,875
Manufacturing,,1,Asian only,Less than High School,23,637,69946,637
Manufacturing,,1,Asian only,High School,23,831,99610,831
Manufacturing,,1,Asian only,Some College,23,1131,119878,1131
Manufacturing,,1,Asian only,Bachelors Degree or more,23,3224,337341,3224
Manufacturing,,1,Some other race(s),Less than High School,23,1824,230410,1824
Manufacturing,,1,Some other race(s),High School,23,1913,235578,1913
Manufacturing,,1,Some other race(s),Some College,23,1525,171433,1525
Manufacturing,,1,Some other race(s),Bachelors Degree or more,23,757,84074,757
Wholesale Trade,,0,White only,Less than High School,23,598,61928,598
Wholesale Trade,,0,White only,High School,23,2423,231347,2423
Wholesale Trade,,0,White only,Some College,23,3253,313955,3253
Wholesale Trade,,0,White only,Bachelors Degree or more,23,3042,296346,3042
Wholesale Trade,,0,Black/African American only,Less than High School,23,48,5846,48
Wholesale Trade,,0,Black/African American only,High School,23,205,25020,205
Wholesale Trade,,0,Black/African American only,Some College,23,211,28231,211
Wholesale Trade,,0,Black/African American only,Bachelors Degree or more,23,184,23672,184
Wholesale Trade,,0,Asian only,Less than High School,23,74,7199,74
Wholesale Trade,,0,Asian only,High School,23,98,11160,98
Wholesale Trade,,0,Asian only,Some College,23,188,18444,188
Wholesale Trade,,0,Asian only,Bachelors Degree or more,23,485,51657,485
Wholesale Trade,,0,Some other race(s),Less than High School,23,187,20530,187
Wholesale Trade,,0,Some other race(s),High School,23,201,21538,201
Wholesale Trade,,0,Some other race(s),Some College,23,241,27831,241
Wholesale Trade,,0,Some other race(s),Bachelors Degree or more,23,125,13925,125
Wholesale Trade,,1,White only,Less than High School,23,1746,189331,1746
Wholesale Trade,,1,White only,High School,23,6605,668257,6605
Wholesale Trade,,1,White only,Some College,23,7272,712078,7272
Wholesale Trade,,1,White only,Bachelors Degree or more,23,6582,650696,6582
Wholesale Trade,,1,Black/African American only,Less than High School,23,184,22086,184
Wholesale Trade,,1,Black/African American only,High School,23,595,78899,595
Wholesale Trade,,1,Black/African American only,Some College,23,515,74356,515
Wholesale Trade,,1,Black/African American only,Bachelors Degree or more,23,209,28660,209
Wholesale Trade,,1,Asian only,Less than High School,23,121,13505,121
Wholesale Trade,,1,Asian only,High School,23,150,17179,150
Wholesale Trade,,1,Asian only,Some College,23,278,28215,278
Wholesale Trade,,1,Asian only,Bachelors Degree or more,23,592,62553,592
Wholesale Trade,,1,Some other race(s),Less than High School,23,505,60782,505
Wholesale Trade,,1,Some other race(s),High School,23,562,71479,562
Wholesale Trade,,1,Some other race(s),Some College,23,492,59677,492
Wholesale Trade,,1,Some other race(s),Bachelors Degree or more,23,162,18547,162
Retail Trade,,0,White only,Less than High School,23,4558,491002,4558
Retail Trade,,0,White only,High School,23,20973,2108268,20973
Retail Trade,,0,White only,Some College,23,23216,2424536,23216
Retail Trade,,0,White only,Bachelors Degree or more,23,11358,1145712,11358
Retail Trade,,0,Black/African American only,Less than High School,23,617,75963,617
Retail Trade,,0,Black/African American only,High School,23,2323,316496,2323
Retail Trade,,0,Black/African American only,Some College,23,3361,471644,3361
Retail Trade,,0,Black/African American only,Bachelors Degree or more,23,927,120854,927
Retail Trade,,0,Asian only,Less than High School,23,378,38372,378
Retail Trade,,0,Asian only,High School,23,760,85067,760
Retail Trade,,0,Asian only,Some College,23,1110,119340,1110
Retail Trade,,0,Asian only,Bachelors Degree or more,23,1345,152671,1345
Retail Trade,,0,Some other race(s),Less than High School,23,836,104041,836
Retail Trade,,0,Some other race(s),High School,23,1592,184900,1592
Retail Trade,,0,Some other race(s),Some College,23,2102,254209,2102
Retail Trade,,0,Some other race(s),Bachelors Degree or more,23,575,67676,575
Retail Trade,,1,White only,Less than High School,23,4784,531076,4784
Retail Trade,,1,White only,High School,23,19772,2097417,19772
Retail Trade,,1,White only,Some College,23,23178,2468701,23178
Retail Trade,,1,White only,Bachelors Degree or more,23,12983,1307935,12983
Retail Trade,,1,Black/African American only,Less than High School,23,584,73728,584
Retail Trade,,1,Black/African American only,High School,23,2167,306569,2167
Retail Trade,,1,Black/African American only,Some College,23,2575,370059,2575
Retail Trade,,1,Black/African American only,Bachelors Degree or more,23,850,116883,850
Retail Trade,,1,Asian only,Less than High School,23,416,43321,416
Retail Trade,,1,Asian only,High School,23,712,85919,712
Retail Trade,,1,Asian only,Some College,23,1232,136798,1232
Retail Trade,,1,Asian only,Bachelors Degree or more,23,1514,179851,1514
Retail Trade,,1,Some other race(s),Less than High School,23,1044,135890,1044
Retail Trade,,1,Some other race(s),High School,23,1775,225342,1775
Retail Trade,,1,Some other race(s),Some College,23,1911,236541,1911
Retail Trade,,1,Some other race(s),Bachelors Degree or more,23,569,71497,569
"Transportation, Warehousing & Storage",,0,White only,Less than High School,23,502,53909,502
"Transportation, Warehousing & Storage",,0,White only,High School,23,3578,340549,3578
"Transportation, Warehousing & Storage",,0,White only,Some College,23,4038,382697,4038
"Transportation, Warehousing & Storage",,0,White only,Bachelors Degree or more,23,1896,183984,1896
"Transportation, Warehousing & Storage",,0,Black/African American only,Less than High School,23,128,15867,128
"Transportation, Warehousing & Storage",,0,Black/African American only,High School,23,737,95050,737
"Transportation, Warehousing & Storage",,0,Black/African American only,Some College,23,1067,136212,1067
"Transportation, Warehousing & Storage",,0,Black/African American only,Bachelors Degree or more,23,341,42504,341
"Transportation, Warehousing & Storage",,0,Asian only,Less than High School,23,32,3024,32
"Transportation, Warehousing & Storage",,0,Asian only,High School,23,90,8871,90
"Transportation, Warehousing & Storage",,0,Asian only,Some College,23,200,22903,200
"Transportation, Warehousing & Storage",,0,Asian only,Bachelors Degree or more,23,256,24765,256
"Transportation, Warehousing & Storage",,0,Some other race(s),Less than High School,23,113,14117,113
"Transportation, Warehousing & Storage",,0,Some other race(s),High School,23,298,30999,298
"Transportation, Warehousing & Storage",,0,Some other race(s),Some College,23,332,35942,332
"Transportation, Warehousing & Storage",,0,Some other race(s),Bachelors Degree or more,23,99,10197,99
"Transportation, Warehousing & Storage",,1,White only,Less than High School,23,3142,326002,3142
"Transportation, Warehousing & Storage",,1,White only,High School,23,12215,1224367,12215
"Transportation, Warehousing & Storage",,1,White only,Some College,23,10773,1075530,10773
"Transportation, Warehousing & Storage",,1,White only,Bachelors Degree or more,23,5092,515240,5092
"Transportation, Warehousing & Storage",,1,Black/African American only,Less than High School,23,524,64710,524
"Transportation, Warehousing & Storage",,1,Black/African American only,High School,23,2231,305581,2231
"Transportation, Warehousing & Storage",,1,Black/African American only,Some College,23,2212,288977,2212
"Transportation, Warehousing & Storage",,1,Black/African American only,Bachelors Degree or more,23,593,74181,593
"Transportation, Warehousing & Storage",,1,Asian only,Less than High School,23,224,22444,224
"Transportation, Warehousing & Storage",,1,Asian only,High School,23,369,43961,369
"Transportation, Warehousing & Storage",,1,Asian only,Some College,23,611,67050,611
"Transportation, Warehousing & Storage",,1,Asian only,Bachelors Degree or more,23,620,63150,620
"Transportation, Warehousing & Storage",,1,Some other race(s),Less than High School,23,683,86807,683
"Transportation, Warehousing & Storage",,1,Some other race(s),High School,23,1043,121968,1043
"Transportation, Warehousing & Storage",,1,Some other race(s),Some College,23,893,106331,893
"Transportation, Warehousing & Storage",,1,Some other race(s),Bachelors Degree or more,23,246,27573,246
Information,,0,White only,Less than High School,23,176,17597,176
Information,,0,White only,High School,23,1633,154755,1633
Information,,0,White only,Some College,23,3039,298127,3039
Information,,0,White only,Bachelors Degree or more,23,5029,487503,5029
Information,,0,Black/African American only,Less than High School,23,37,3398,37
Information,,0,Black/African American only,High School,23,246,31474,246
Information,,0,Black/African American only,Some College,23,567,75900,567
Information,,0,Black/African American only,Bachelors Degree or more,23,454,55143,454
Information,,0,Asian only,Less than High School,23,10,964,10
Information,,0,Asian only,High School,23,55,5413,55
Information,,0,Asian only,Some College,23,102,11775,102
Information,,0,Asian only,Bachelors Degree or more,23,596,60442,596
Information,,0,Some other race(s),Less than High School,23,40,4357,40
Information,,0,Some other race(s),High School,23,112,13642,112
Information,,0,Some other race(s),Some College,23,266,30586,266
Information,,0,Some other race(s),Bachelors Degree or more,23,245,25335,245
Information,,1,White only,Less than High School,23,285,28272,285
Information,,1,White only,High School,23,2153,223588,2153
Information,,1,White only,Some College,23,4817,489997,4817
Information,,1,White only,Bachelors Degree or more,23,6499,646650,6499
Information,,1,Black/African American only,Less than High School,23,39,5423,39
Information,,1,Black/African American only,High School,23,240,32402,240
Information,,1,Black/African American only,Some College,23,560,73373,560
Information,,1,Black/African American only,Bachelors Degree or more,23,373,50205,373
Information,,1,Asian only,Less than High School,23,21,2174,21
Information,,1,Asian only,High School,23,64,6985,64
Information,,1,Asian only,Some College,23,192,20821,192
Information,,1,Asian only,Bachelors Degree or more,23,894,94673,894
Information,,1,Some other race(s),Less than High School,23,58,7259,58
Information,,1,Some other race(s),High School,23,193,23873,193
Information,,1,Some other race(s),Some College,23,325,38952,325
Information,,1,Some other race(s),Bachelors Degree or more,23,284,31220,284
"Finance, Insurance",,0,White only,Less than High School,23,367,37614,367
"Finance, Insurance",,0,White only,High School,23,7463,712093,7463
"Finance, Insurance",,0,White only,Some College,23,12340,1213122,12340
"Finance, Insurance",,0,White only,Bachelors Degree or more,23,10909,1077105,10909
"Finance, Insurance",,0,Black/African American only,Less than High School,23,52,4771,52
"Finance, Insurance",,0,Black/African American only,High School,23,593,75210,593
"Finance, Insurance",,0,Black/African American only,Some College,23,1805,236506,1805
"Finance, Insurance",,0,Black/African American only,Bachelors Degree or more,23,1348,167489,1348
"Finance, Insurance",,0,Asian only,Less than High School,23,51,4309,51
"Finance, Insurance",,0,Asian only,High School,23,182,19951,182
"Finance, Insurance",,0,Asian only,Some College,23,495,51577,495
"Finance, Insurance",,0,Asian only,Bachelors Degree or more,23,1572,168429,1572
"Finance, Insurance",,0,Some other race(s),Less than High School,23,62,7019,62
"Finance, Insurance",,0,Some other race(s),High School,23,404,47698,404
"Finance, Insurance",,0,Some other race(s),Some College,23,869,97134,869
"Finance, Insurance",,0,Some other race(s),Bachelors Degree or more,23,482,54437,482
"Finance, Insurance",,1,White only,Less than High School,23,172,16964,172
"Finance, Insurance",,1,White only,High School,23,1465,159544,1465
"Finance, Insurance",,1,White only,Some College,23,5047,520250,5047
"Finance, Insurance",,1,White only,Bachelors Degree or more,23,16331,1616243,16331
"Finance, Insurance",,1,Black/African American only,Less than High School,23,31,3359,31
"Finance, Insurance",,1,Black/African American only,High School,23,164,21283,164
"Finance, Insurance",,1,Black/African American only,Some College,23,546,72994,546
"Finance, Insurance",,1,Black/African American only,Bachelors Degree or more,23,787,103252,787
"Finance, Insurance",,1,Asian only,Less than High School,23,14,1297,14
"Finance, Insurance",,1,Asian only,High School,23,80,7571,80
"Finance, Insurance",,1,Asian only,Some College,23,265,27225,265
"Finance, Insurance",,1,Asian only,Bachelors Degree or more,23,1796,194545,1796
"Finance, Insurance",,1,Some other race(s),Less than High School,23,35,4172,35
"Finance, Insurance",,1,Some other race(s),High School,23,133,15860,133
"Finance, Insurance",,1,Some other race(s),Some College,23,324,41308,324
"Finance, Insurance",,1,Some other race(s),Bachelors Degree or more,23,473,56762,473
"Real Estate, Rental & Leasing",,0,White only,Less than High School,23,298,32417,298
"Real Estate, Rental & Leasing",,0,White only,High School,23,2125,217385,2125
"Real Estate, Rental & Leasing",,0,White only,Some College,23,4003,402025,4003
"Real Estate, Rental & Leasing",,0,White only,Bachelors Degree or more,23,3509,348324,3509
"Real Estate, Rental & Leasing",,0,Black/African American only,Less than High School,23,37,4906,37
"Real Estate, Rental & Leasing",,0,Black/African American only,High School,23,192,26489,192
"Real Estate, Rental & Leasing",,0,Black/African American only,Some College,23,364,48423,364
"Real Estate, Rental & Leasing",,0,Black/African American only,Bachelors Degree or more,23,292,36248,292
"Real Estate, Rental & Leasing",,0,Asian only,Less than High School,23,27,2079,27
"Real Estate, Rental & Leasing",,0,Asian only,High School,23,40,4886,40
"Real Estate, Rental & Leasing",,0,Asian only,Some College,23,142,14076,142
"Real Estate, Rental & Leasing",,0,Asian only,Bachelors Degree or more,23,313,30395,313
"Real Estate, Rental & Leasing",,0,Some other race(s),Less than High School,23,75,9168,75
"Real Estate, Rental & Leasing",,0,Some other race(s),High School,23,140,17367,140
"Real Estate, Rental & Leasing",,0,Some other race(s),Some College,23,312,35150,312
"Real Estate, Rental & Leasing",,0,Some other race(s),Bachelors Degree or more,23,126,13220,126
"Real Estate, Rental & Leasing",,1,White only,Less than High School,23,760,93021,760
"Real Estate, Rental & Leasing",,1,White only,High School,23,2385,257572,2385
"Real Estate, Rental & Leasing",,1,White only,Some College,23,3411,357616,3411
"Real Estate, Rental & Leasing",,1,White only,Bachelors Degree or more,23,4350,425990,4350
"Real Estate, Rental & Leasing",,1,Black/African American only,Less than High School,23,114,13548,114
"Real Estate, Rental & Leasing",,1,Black/African American only,High School,23,348,48065,348
"Real Estate, Rental & Leasing",,1,Black/African American only,Some College,23,326,45176,326
